200 1000
70 187 133
127 88 121
54 145 -7
58 8 -189
141 97 101
88 55 19
31 100 -18
49 50 -107
13 10 -190
82 148 -124
181 13 71
80 134 -104
149 104 95
1 110 112
191 25 31
128 170 131
2 10 62
95 175 1
103 46 92
110 139 -185
104 144 167
120 72 97
175 155 184
174 138 -125
13 181 6
114 178 191
150 191 48
148 183 34
174 92 67
56 1 -159
12 85 120
32 4 -133
104 116 -72
89 99 10
75 71 -157
55 125 -152
20 71 74
41 90 -199
153 79 18
73 134 90
57 157 118
166 156 159
26 160 -72
42 161 63
0 113 -94
172 52 82
176 196 45
86 14 195
125 51 -32
127 12 -75
177 28 -161
84 101 -55
127 183 -148
46 194 -191
184 175 127
147 159 71
23 174 -135
125 165 169
10 114 -61
9 75 19
168 31 155
123 173 -43
79 118 168
131 21 -102
21 187 0
36 187 88
45 36 182
93 107 -132
143 111 -150
174 136 20
131 192 -63
128 171 -98
52 188 112
15 179 80
56 52 49
60 14 -134
101 89 -49
88 135 8
118 60 132
160 111 -127
50 167 -197
8 169 10
38 158 93
95 125 -143
114 101 -153
144 16 10
184 71 63
164 172 81
57 48 123
191 91 85
167 189 150
150 143 -19
163 104 -44
159 122 80
66 51 168
101 166 4
98 54 28
21 46 52
53 78 91
185 109 -10
63 100 -82
178 76 -72
189 198 132
80 108 -66
58 73 -15
111 175 35
175 158 30
66 112 -50
64 38 176
105 21 -174
21 195 157
138 8 -125
110 164 59
0 64 175
72 89 100
9 39 -36
61 76 51
107 86 186
122 175 -86
126 50 180
184 199 -33
178 84 1
11 82 -79
31 51 103
5 132 19
149 150 68
88 37 -36
79 22 -8
91 194 78
149 32 128
112 184 27
54 163 99
117 10 178
147 181 16
106 162 -149
75 132 -198
188 20 -111
186 82 -48
43 68 -173
37 93 85
7 47 151
149 26 20
55 45 -130
82 189 81
118 112 -146
50 10 37
166 26 -110
95 109 -162
136 78 -25
81 103 -86
171 8 -56
14 122 190
163 123 -107
91 162 -167
71 28 -159
17 2 -169
168 39 -192
126 67 -127
113 109 -135
164 138 44
35 71 97
61 14 -177
101 191 180
163 158 15
0 53 -31
112 186 -27
198 83 129
7 138 198
38 4 105
54 63 6
143 51 135
135 44 45
26 6 -103
11 6 9
0 37 -109
98 61 -52
189 27 94
81 52 1
97 75 -133
96 83 -67
194 97 23
188 80 -70
156 183 -67
60 185 -131
180 159 156
145 62 -120
68 34 80
186 122 -146
91 184 -14
52 22 159
61 100 -49
92 116 -95
196 163 118
1 103 183
134 65 131
94 82 -85
124 74 -189
77 81 54
19 46 149
20 101 11
33 127 -75
141 124 -190
123 154 149
51 77 167
186 144 165
16 110 -19
198 150 -184
128 136 71
13 81 38
63 36 -170
195 67 -139
42 3 133
118 55 -20
120 197 118
20 158 -190
9 100 -100
90 157 -47
164 99 96
28 7 3
174 105 -25
144 84 -114
36 39 72
128 73 -42
88 146 188
27 124 188
46 144 33
72 148 91
83 142 39
128 46 91
118 159 188
105 35 -165
150 198 -69
162 82 5
91 152 -13
102 179 113
11 179 77
11 121 -177
36 163 129
182 19 25
3 161 29
25 135 47
37 30 52
89 19 123
113 51 123
22 153 -196
8 118 72
153 161 -128
198 156 10
3 51 39
29 134 -34
41 95 81
166 91 183
55 91 40
126 174 -102
97 16 195
143 19 43
77 13 149
173 167 13
57 128 -94
20 53 -141
50 58 -19
82 161 141
105 192 22
114 174 70
4 27 -51
129 170 -63
128 186 152
122 103 173
152 151 -135
197 107 32
18 19 -107
50 107 170
134 15 93
101 113 162
11 37 61
22 65 45
9 182 -114
143 110 -52
22 174 -61
84 97 -137
86 36 -118
108 30 151
186 185 -65
14 111 126
134 94 -93
100 135 -15
41 103 -148
125 34 -21
31 104 -173
159 78 -40
6 91 192
43 135 55
98 195 -61
92 7 -69
98 72 -61
86 114 149
165 1 -159
194 122 76
25 4 28
188 187 -167
45 192 -42
33 190 80
116 101 101
191 80 -170
25 167 164
138 32 -155
33 165 -46
99 198 -98
123 103 -136
23 137 -2
6 28 12
131 17 152
150 35 -100
31 129 -80
179 165 14
186 62 -149
177 170 199
67 79 175
33 30 -66
50 38 138
140 93 167
18 144 6
13 20 -150
36 184 149
11 49 184
115 102 -33
110 98 -114
17 121 61
167 130 -65
99 60 46
37 29 193
130 116 -131
84 80 0
17 183 23
90 97 27
100 150 -196
174 50 -99
36 61 121
131 40 62
1 27 -113
170 20 75
12 83 -26
170 100 -12
126 88 81
19 24 162
61 73 -163
61 194 -175
124 137 -116
17 111 33
133 40 23
32 142 -112
21 167 199
113 171 142
117 33 194
21 43 -92
1 194 -178
162 89 156
69 140 103
78 48 -90
101 87 -3
81 2 33
36 159 -198
154 25 139
9 151 -9
141 166 72
127 134 -109
124 177 -196
167 173 19
132 7 17
73 23 -136
190 74 -46
152 199 144
97 4 182
190 151 33
56 37 -95
34 95 -156
69 48 72
26 125 -159
154 94 160
57 52 178
152 40 -180
6 69 -17
86 74 72
19 72 47
88 65 118
74 128 -183
33 42 -82
190 130 173
87 132 145
76 5 30
20 10 -182
93 12 61
141 50 111
106 164 -147
146 111 -107
77 114 -137
161 67 -70
81 90 -185
85 180 -89
147 118 110
34 41 69
195 123 199
38 190 125
1 145 81
16 95 86
120 42 -38
11 168 -180
163 100 74
72 29 99
54 7 69
10 20 -178
1 166 193
33 176 199
5 40 139
57 87 118
49 160 57
111 157 128
192 190 150
54 160 140
136 83 170
128 137 -158
3 178 -55
174 110 -166
123 93 -71
193 179 -188
28 74 60
31 199 39
74 106 -132
55 72 -34
123 95 153
125 104 -182
149 23 -120
4 62 -3
195 56 -90
38 13 -41
81 168 -90
116 107 -148
115 66 193
59 163 -8
60 62 4
96 134 61
111 149 24
64 70 159
131 125 107
191 184 49
78 82 -162
137 172 190
26 98 -28
175 137 148
178 187 -51
99 123 -118
51 84 -79
37 9 -31
107 182 0
129 102 -166
135 199 97
56 70 189
199 15 -1
55 121 -93
17 52 75
33 120 152
118 63 188
45 5 117
108 6 35
134 54 -168
89 169 -44
12 184 -90
65 83 -64
13 178 101
14 83 163
164 72 111
173 77 -140
185 3 138
194 155 -127
105 169 -39
164 4 -180
173 79 115
192 53 114
26 67 178
160 156 -148
41 48 -44
187 47 -95
55 199 -104
182 24 -150
47 37 -64
174 190 -11
72 65 -186
99 189 -97
186 135 -80
187 150 72
96 37 -176
141 147 -97
60 180 192
73 140 -35
163 65 127
103 118 -11
65 13 -172
72 46 96
173 34 -6
46 197 30
10 157 114
188 180 184
125 132 -39
135 127 -181
102 163 109
167 193 -58
82 59 -61
12 115 111
170 55 -177
21 125 51
171 172 -186
38 21 115
55 152 -125
58 7 51
34 174 -134
170 41 -183
39 84 -175
175 117 93
1 163 -197
26 34 113
77 44 94
0 141 -123
97 61 -21
166 22 146
20 6 197
165 0 -117
5 98 36
178 115 -3
188 96 1
181 119 132
133 128 180
194 45 161
153 152 154
164 173 100
69 188 -120
186 193 66
71 107 -56
197 115 195
86 136 136
172 139 163
92 2 169
5 96 -84
46 68 149
109 145 23
194 151 131
97 129 89
167 6 -133
167 87 -73
93 10 49
108 50 -168
